5379|Enrique Castillo
5381|Bill Marsilii
5397|Dan Studney
5426|Anita Briem
5429|Jane Wheeler
5431|Giancarlo Caltabiano
5433|Garth Gilker
5434|Eric Brevig
5436|Jennifer Flackett
5447|David S. Lee
5462|David Weisberg
5463|Douglas S. Cook
5475|Gary Weeks
5489|Fred Dekker
5506|Chad St. John
5515|Nicolas Wright
5527|Sheridan Smith
5532|Evan Spiliotopoulos
5545|Steve Shibuya
5568|Shaun McKee
5580|Eileen Atkins
5592|Tom Atkins
5593|Darlene Love
5594|Traci Wolfe
5603|Quinton 'Rampage' Jackson
5609|Brian Bloom
5632|Gustav Lindh
5649|Fernando Chien
5654|Cliff Dorfman
5663|Emily Siewert
5684|Sarah Wright
5689|Alejandro Edda
5700|Kiersey Clemons
5709|Melanie Vallejo
5710|Benedict Hardie
5711|Linda Cropper
5712|Simon Maiden
5713|Steve Danielsen
5714|Richard Cawthorne
5730|David Elliot
5737|Ian Whyte
5742|Joseph Rye
5744|Carsten Nørgaard
5748|Joanne Samuel
5750|Steve Bisley
5756|David Bracks
5758|Byron Kennedy
5771|Henry Frost
5773|J.C. Chandor
5775|Matthew Sand
5796|Jan Filipenský
5808|Hiam Abbass
5826|William Monahan
5837|Dominic Sena
5872|Russell Wong
5882|Al Madrigal
5885|Joe Ferrara
5886|Charlie Shotwell
5887|Daniel Espinosa
5893|Lewis Fitz-Gerald
5896|Rhiana Griffith
5897|John Moore
5899|Les Chantery
5900|David Twohy
5902|Jim Wheat
5914|Natacha Karam
5915|Anamaria Marinca
5927|Andreas Katsulas
5938|John Howard
5940|Charlee Fraser
5963|Ali Suliman
5975|Razaaq Adoti
5980|Alexander Witt
6007|Jessica Postigo
6008|I. Marlene King
6015|Ron Thomas
6016|Rob Garrison
6018|Tony O'Dell
6019|John G. Avildsen
6030|Colin McFarlane
6032|Byron Willinger
6033|Philip de Blasi
6041|Becky G
6047|Dean Israelite
6086|Greg Hatton
6105|Alex Litvak
6110|Cab Calloway
6115|Murphy Dunne
6122|John Ashton
6128|Stephen Elliott
6129|Gilbert R. Hill
6133|Danilo Bach
6142|Lindsay Sloane
6146|Chris Henchy
6165|John Lone
6171|Lisa LoCicero
6172|Meiling Melançon
6179|Ashanti
6180|Christopher Egan
6182|Matthew Marsden
6185|Russell Mulcahy
6193|Anna Colwell
6196|Walter Bankson
6202|Richard Outten
6208|Art Malik
6231|James V. Hart
6259|Ryan Rowe
6260|John August
6267|Constance Marie
6273|Tom Wheeler
6274|Brian Lynch
6286|Laurence Mason
6289|John Shirley
6298|Greg Sproles
6300|Baltasar Kormákur
6301|Blake Masters
6320|Yorick van Wageningen
6346|Noah Dalton Danby
6387|Joseph Mawle
6424|Aksel Hennie
6440|Sanny van Heteren
6441|Jacob Blair
6443|Måns Mårlind
6460|Grace Chan
6464|Naseeruddin Shah
6466|Peta Wilson
6467|Stuart Townsend
6471|Max Ryan
6474|James Robinson
6491|Stuart Wilson
6494|Diego Sieres
6497|Emiliano Guerra
6508|Aryana Engineer
6512|Johann Urb
6524|Marisa Miller
6525|Mike O'Malley
6544|Bruce Feirstein
6556|Vojislav Govedarica
6557|George P. Cosmatos
6560|Kevin Jarre
6602|Jackie Cooper
6604|Trevor Howard
6621|Maung Maung Khin
6625|Art Monterastelli
6639|David Scarpa
6641|Y'lan Noel
6642|Lex Scott Davis
6643|Joivan Wade
6649|Kristen Solis
6650|Rotimi Paul
6662|Steve Monroe
6664|Marc Lawrence
6665|Katie Ford
6666|Caryn Lucas
6671|Loren Dean
6681|Maria Pitillo
6699|Adriana Barraza
6700|Yvette Monreal
6706|Adrian Grünberg
6707|Matthew Cirulnick
6720|Katie Dippold
6740|Evan Lai
6751|Reno Wilson
6756|Mark Neveldine
6785|Stephen Cornwell
6796|Ras-Samuel Welda'abzgi
6830|Michael Preston
6831|Max Phipps
6832|Vernon Wells
6835|Virginia Hey
6837|Arkie Whiteley
6839|Terry Hayes
6841|Brian Hannant
6848|Judith Godrèche
